"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Theo Riddick","DET","4.0","16.5","0.1","5.5","42.6","0.1","0.1","7.0"
"","high","5.0","20.0","0.1","6.0","46.7","0.2","0.1","8.4"
"","low","2.8","11.2","0.0","4.9","36.8","0.0","0.1","6.5"
"Isaiah Crowell","NYJ","10.8","43.7","0.2","1.8","15.6","0.0","0.1","7.0"
"","high","12.8","56.9","0.3","2.5","21.2","0.1","0.0","8.1"
"","low","9.0","31.4","0.0","1.3","10.0","0.0","0.1","6.0"
"Jalen Richard","OAK","4.1","17.2","0.1","4.5","37.9","0.1","0.1","6.6"
"","high","6.0","26.7","0.2","5.5","47.0","0.2","0.0","7.5"
"","low","2.6","7.6","0.0","3.4","31.9","0.0","0.1","5.5"
"Duke Johnson","CLE","3.7","14.0","0.1","4.1","36.9","0.1","0.1","6.1"
"","high","5.5","21.8","0.2","4.4","41.0","0.2","0.1","8.7"
"","low","2.6","10.5","0.0","3.8","30.0","0.0","0.2","4.5"
"Elijah McGuire","NYJ","7.6","29.4","0.1","2.5","23.0","0.1","0.1","6.0"
"","high","8.7","30.5","0.2","3.0","29.6","0.1","0.1","7.1"
"","low","6.3","28.2","0.0","2.0","15.0","0.0","0.2","4.5"
"Royce Freeman","DEN","8.7","37.5","0.3","0.9","6.8","0.0","0.0","5.9"
"","high","9.8","48.1","0.4","1.1","8.6","0.0","0.0","8.0"
"","low","8.0","30.0","0.0","0.8","5.0","0.0","0.1","3.5"
"Nyheim Hines","IND","6.1","25.2","0.1","2.9","22.6","0.1","0.1","5.6"
"","high","6.8","30.2","0.1","4.0","35.0","0.1","0.0","6.3"
"","low","5.6","22.4","0.0","2.3","16.5","0.0","0.1","5.1"
"Justin Jackson","LAC","7.0","29.4","0.2","1.4","12.3","0.1","0.1","5.6"
"","high","9.5","40.5","0.4","1.5","14.0","0.1","0.0","8.5"
"","low","4.7","18.0","0.1","1.4","9.0","0.0","0.1","4.2"
