"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Dede Westbrook","JAC","3.9","51.9","0.3","0.3","2.7","0.0","0.0","6.9"
"","high","4.6","59.7","0.4","0.6","5.8","0.0","0.0","9.0"
"","low","3.0","44.6","0.0","0.0","0.0","0.0","0.1","5.5"
"Larry Fitzgerald","ARI","4.6","52.0","0.3","0.0","0.0","0.0","0.0","6.9"
"","high","5.2","60.0","0.5","0.0","0.0","0.0","0.0","7.8"
"","low","3.6","38.2","0.0","0.0","0.0","0.0","0.1","6.0"
"Tre'Quan Smith","NO","3.3","48.3","0.3","0.0","0.0","0.0","0.0","6.8"
"","high","3.8","54.2","0.6","0.0","0.0","0.0","0.0","9.0"
"","low","3.0","40.0","0.0","0.0","0.0","0.0","0.1","4.0"
"Curtis Samuel","CAR","3.0","37.3","0.4","0.6","4.8","0.0","0.1","6.8"
"","high","3.4","45.0","1.0","1.0","8.9","0.1","0.0","11.5"
"","low","2.7","30.5","0.2","0.0","0.3","0.0","0.2","4.8"
"Calvin Ridley","ATL","3.9","48.2","0.3","0.5","2.6","0.0","0.0","6.8"
"","high","5.0","55.0","0.5","0.7","4.0","0.0","0.0","7.9"
"","low","3.3","45.0","0.0","0.3","1.9","0.0","0.1","5.5"
"Golden Tate","PHI","4.2","50.0","0.3","0.2","1.5","0.0","0.1","6.5"
"","high","4.5","54.6","0.4","0.5","3.0","0.0","0.0","7.6"
"","low","3.9","45.0","0.0","0.1","0.8","0.0","0.1","5.0"
"Chris Conley","KC","3.7","45.3","0.4","0.0","0.0","0.0","0.1","6.5"
"","high","4.3","57.4","0.6","0.0","0.0","0.0","0.0","9.3"
"","low","2.8","38.0","0.0","0.0","0.0","0.0","0.1","4.5"
"Courtland Sutton","DEN","3.1","51.5","0.2","0.0","0.0","0.0","0.0","6.5"
"","high","3.5","63.8","0.4","0.0","0.0","0.0","0.0","8.2"
"","low","2.4","42.7","0.0","0.0","0.0","0.0","0.1","4.5"
"Sterling Shepard","NYG","4.4","52.0","0.2","0.1","0.8","0.0","0.0","6.4"
"","high","5.0","62.7","0.3","0.2","2.1","0.0","0.0","8.3"
"","low","3.3","40.3","0.0","0.0","0.0","0.0","0.0","5.3"
"Christian Kirk","ARI","3.7","50.0","0.2","0.2","0.9","0.0","0.0","6.2"
"","high","4.3","55.5","0.3","0.2","1.3","0.0","0.0","7.5"
"","low","3.0","40.0","0.0","0.0","0.3","0.0","0.0","4.0"
"Donte Moncrief","JAC","3.5","46.7","0.3","0.0","0.0","0.0","0.0","6.1"
"","high","4.0","54.6","0.4","0.0","0.0","0.0","0.0","7.9"
"","low","2.4","34.7","0.0","0.0","0.0","0.0","0.1","4.5"
"Josh Reynolds","LAR","2.9","40.9","0.3","0.1","0.7","0.0","0.0","6.1"
"","high","3.0","45.0","0.5","0.3","1.7","0.0","0.0","7.2"
"","low","2.6","36.0","0.0","0.0","0.0","0.0","0.0","4.5"
"Dante Pettis","SF","3.6","49.4","0.2","0.0","0.1","0.0","0.0","6.1"
"","high","4.2","56.5","0.4","0.1","0.4","0.0","0.0","7.2"
"","low","2.8","46.0","0.0","0.0","0.0","0.0","0.0","5.0"
"Kenny Stills","MIA","3.0","43.9","0.3","0.0","0.0","0.0","0.0","6.0"
"","high","4.2","62.8","0.5","0.0","0.0","0.0","0.0","9.3"
"","low","2.5","34.0","0.0","0.0","0.0","0.0","0.0","4.5"
"Bruce Ellington","DET","4.3","47.3","0.2","0.1","0.4","0.0","0.0","5.9"
"","high","5.0","52.0","0.3","0.2","0.7","0.0","0.0","6.7"
"","low","3.9","44.5","0.0","0.0","0.0","0.0","0.0","4.5"
"Devante Parker","MIA","4.1","48.1","0.2","0.0","0.0","0.0","0.0","5.9"
"","high","5.7","64.6","0.3","0.0","0.0","0.0","0.0","8.3"
"","low","3.1","39.0","0.0","0.0","0.0","0.0","0.1","4.8"
"Taylor Gabriel","CHI","3.7","44.3","0.2","0.6","3.5","0.0","0.0","5.8"
"","high","4.3","51.9","0.3","0.7","4.7","0.0","0.0","6.8"
"","low","3.0","40.0","0.0","0.2","1.5","0.0","0.0","4.0"
"Quincy Enunwa","NYJ","4.0","48.9","0.2","0.1","0.1","0.0","0.1","5.7"
"","high","4.2","53.0","0.3","0.1","0.4","0.0","0.0","7.2"
"","low","3.5","42.2","0.0","0.0","0.0","0.0","0.2","4.5"
"Michael Crabtree","BAL","3.5","40.9","0.3","0.0","0.0","0.0","0.0","5.7"
"","high","4.2","48.0","0.5","0.0","0.0","0.0","0.0","7.6"
"","low","2.8","33.4","0.0","0.0","0.0","0.0","0.0","4.5"
"John Brown","BAL","2.6","39.9","0.2","0.3","1.5","0.0","0.0","5.6"
"","high","3.3","52.0","0.3","0.3","2.3","0.0","0.0","7.1"
"","low","2.0","25.0","0.0","0.2","0.7","0.0","0.0","2.5"
"Marquez Valdes-Scantling","GB","3.2","43.0","0.2","0.0","0.0","0.0","0.0","5.4"
"","high","5.0","55.0","0.3","0.0","0.0","0.0","0.0","5.7"
"","low","2.4","38.0","0.0","0.0","0.0","0.0","0.0","4.9"
"Mohamed Sanu","ATL","3.5","41.9","0.2","0.1","0.6","0.0","0.0","5.4"
"","high","3.9","46.4","0.3","0.2","1.2","0.0","0.0","6.2"
"","low","3.0","39.0","0.0","0.0","0.0","0.0","0.1","4.0"
"Jordy Nelson","OAK","3.0","39.2","0.2","0.0","0.0","0.0","0.0","5.2"
"","high","3.9","48.0","0.4","0.1","0.2","0.0","0.0","6.9"
"","low","1.6","20.8","0.0","0.0","-0.2","0.0","0.1","2.7"
"Antonio Callaway","CLE","3.0","38.9","0.2","0.2","1.2","0.0","0.0","5.1"
"","high","4.0","45.0","0.3","0.3","1.6","0.0","0.0","5.7"
"","low","2.6","34.7","0.0","0.2","0.6","0.0","0.1","4.5"
"Anthony Miller","CHI","2.7","36.3","0.2","0.2","1.2","0.0","0.0","5.0"
"","high","3.2","42.1","0.3","0.5","3.1","0.0","0.0","6.2"
"","low","2.0","25.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Dontrelle Inman","IND","3.2","39.1","0.2","0.0","0.0","0.0","0.0","5.0"
"","high","4.0","50.0","0.3","0.0","0.0","0.0","0.0","5.7"
"","low","2.2","26.8","0.0","0.0","0.0","0.0","0.0","3.8"
"Tyrell Williams","LAC","2.1","35.5","0.2","0.1","0.7","0.0","0.0","5.0"
"","high","2.8","46.0","0.4","0.2","1.4","0.0","0.0","6.4"
"","low","1.0","10.0","0.0","0.0","0.0","0.0","0.1","1.0"
"Devin Funchess","CAR","2.6","36.0","0.2","0.0","0.0","0.0","0.0","4.9"
"","high","2.9","40.9","0.4","0.0","0.0","0.0","0.0","6.1"
"","low","2.0","30.0","0.0","0.0","0.0","0.0","0.1","3.0"
"Zay Jones","BUF","3.3","39.4","0.1","0.0","0.0","0.0","0.0","4.8"
"","high","4.0","45.0","0.2","0.1","0.1","0.0","0.0","5.5"
"","low","2.7","32.0","0.0","0.0","0.0","0.0","0.0","3.8"
"Kendrick Bourne","SF","3.2","39.5","0.1","0.0","0.0","0.0","0.0","4.8"
"","high","3.4","44.0","0.2","0.0","0.1","0.0","0.0","5.3"
"","low","2.9","33.3","0.0","0.0","0.0","0.0","0.1","4.0"
"Josh Doctson","WAS","2.9","38.5","0.1","0.0","0.0","0.0","0.0","4.6"
"","high","4.0","50.0","0.2","0.0","0.2","0.0","0.0","5.0"
"","low","2.2","27.6","0.0","0.0","-0.2","0.0","0.0","3.3"
"Seth Roberts","OAK","3.1","37.3","0.1","0.0","0.3","0.0","0.0","4.5"
"","high","4.0","48.0","0.2","0.1","0.8","0.0","0.0","6.1"
"","low","1.8","24.4","0.0","0.0","0.0","0.0","0.0","2.8"
"Kelvin Benjamin","BUF","2.5","36.8","0.1","0.0","0.0","0.0","0.0","4.5"
"","high","3.0","46.0","0.2","0.0","0.0","0.0","0.0","5.8"
"","low","1.9","27.8","0.0","0.0","0.0","0.0","0.1","3.5"
"Robby Anderson","NYJ","2.6","37.1","0.1","0.1","0.4","0.0","0.1","4.4"
"","high","3.2","43.8","0.2","0.2","1.4","0.0","0.0","5.6"
"","low","2.0","25.3","0.0","0.0","0.0","0.0","0.1","3.2"
"Cole Beasley","DAL","3.3","34.0","0.2","0.0","0.0","0.0","0.0","4.4"
"","high","3.5","37.9","0.3","0.0","0.1","0.0","0.0","5.0"
"","low","3.0","30.0","0.0","0.0","0.0","0.0","0.0","3.0"
"Jermaine Kearse","NYJ","3.1","35.8","0.1","0.0","0.0","0.0","0.0","4.4"
"","high","3.8","42.6","0.3","0.0","0.0","0.0","0.0","5.5"
"","low","2.0","25.0","0.0","0.0","0.0","0.0","0.0","2.5"
"Michael Gallup","DAL","2.5","35.9","0.1","0.0","0.0","0.0","0.0","4.4"
"","high","3.2","43.0","0.2","0.0","0.0","0.0","0.0","5.4"
"","low","1.0","15.3","0.0","0.0","0.0","0.0","0.0","2.0"
"Willie Snead","BAL","3.1","35.6","0.1","0.1","1.0","0.0","0.1","4.4"
"","high","4.1","47.0","0.2","0.3","2.1","0.0","0.0","5.5"
"","low","2.0","30.2","0.0","0.0","0.0","0.0","0.2","3.5"
"Marcell Ateman","OAK","2.6","35.0","0.1","0.0","0.2","0.0","0.0","4.2"
"","high","3.8","48.0","0.2","0.1","0.8","0.0","0.0","5.8"
"","low","0.7","9.0","0.0","0.0","0.0","0.0","0.0","1.3"
"Randall Cobb","GB","2.9","32.4","0.2","0.2","0.6","0.0","0.1","4.2"
"","high","4.9","49.9","0.3","0.4","1.3","0.0","0.0","6.5"
"","low","1.0","15.0","0.0","0.0","-0.1","0.0","0.1","1.5"
"Leonte Carroo","MIA","1.9","28.2","0.2","0.1","1.1","0.0","0.0","4.1"
